bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
949	NM_001278784	chr17	-	47778295	47785313	47778819	47784358	9	47778295,47780219,47780549,47781461,47782485,47783227,47783565,47784326,47785091,	47778872,47780373,47780656,47781588,47782643,47783258,47783671,47784430,47785313,	0	SLC35B1	cmpl	cmpl	1,0,1,0,1,0,2,0,-1,
784	NM_004680	chrY	-	26191376	26194161	26191750	26193835	2	26191376,26192243,	26191823,26194161,	0	CDY1	cmpl	cmpl	2,0,
796	NM_004680	chrY	+	27768263	27771048	27768589	27770674	2	27768263,27770601,	27770181,27771048,	0	CDY1	cmpl	cmpl	0,2,
588	NM_007277	chr5	+	443333	467409	446320	467013	13	443333,446264,447647,453484,457003,458014,459473,462074,462271,464404,465225,465832,466841,	443405,446464,447867,454166,457121,458140,459574,462185,462422,464527,465387,465960,467409,	0	EXOC3	cmpl	cmpl	-1,0,0,1,2,0,0,2,2,0,0,0,2,
164	NM_001289072	chr10	+	96305523	96361856	96305678	96361379	20	96305523,96306133,96313882,96317895,96322447,96322568,96331144,96333716,96334310,96336418,96347985,96350169,96350394,96351985,96352151,96353255,96354451,96356616,96356791,96361284,	96305709,96306255,96314005,96317952,96322484,96322633,96331186,96333944,96334493,96336466,96348147,96350309,96350533,96352069,96352271,96353372,96354611,96356713,96356868,96361856,	0	HELLS	cmpl	cmpl	0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,1,
14	NM_005910	chr17	+	43971747	44105699	44039703	44101537	12	43971747,44039686,44049224,44051750,44055740,44064405,44068825,44073764,44087675,44091608,44095983,44101321,	43972052,44039836,44049311,44051837,44055806,44064461,44068952,44074030,44087768,44091690,44096096,44105699,	0	MAPT	cmpl	cmpl	-1,0,1,1,1,1,0,1,0,0,1,0,
1	NM_016309	chr16	+	25123046	25189551	25123204	25189344	11	25123046,25139795,25143722,25151491,25162874,25172422,25175918,25180432,25182034,25186257,25189321,	25123317,25139887,25143844,25151568,25162936,25172525,25176039,25180534,25182126,25186355,25189551,	0	LCMT1	cmpl	cmpl	0,2,1,0,2,1,2,0,0,2,1,
954	NM_017883	chrX	+	48455879	48463582	48456384	48463420	9	48455879,48457104,48457740,48457974,48458706,48460171,48460452,48462659,48463235,	48456425,48457345,48457850,48458105,48459014,48460352,48460594,48462778,48463582,	0	WDR13	cmpl	cmpl	0,2,0,2,1,0,1,2,1,
712	NM_024881	chr19	-	16660647	16683193	16664489	16683175	6	16660647,16665962,16677342,16678842,16682322,16682754,	16664720,16666208,16677468,16678980,16682393,16683193,	0	SLC35E1	cmpl	cmpl	0,0,0,0,1,0,
953	NM_033518	chrX	-	48316919	48328644	48317318	48326311	17	48316919,48317921,48318117,48319034,48319371,48320103,48320392,48320618,48321282,48324401,48324616,48325185,48325348,48326096,48326258,48327722,48328569,	48317420,48318025,48318262,48319150,48319472,48320183,48320530,48320677,48321365,48324480,48324709,48325259,48325464,48326172,48326312,48327824,48328644,	0	SLC38A5	cmpl	cmpl	0,1,0,1,2,0,0,1,2,1,1,2,0,2,0,-1,-1,
1137	NM_021963	chrX	-	72432136	72434710	72432945	72434328	1	72432136,	72434710,	0	NAP1L2	cmpl	cmpl	0,
668	NM_023921	chr12	-	10977944	10978868	10977944	10978868	1	10977944,	10978868,	0	TAS2R10	cmpl	cmpl	0,
971	NR_024225	chr19	-	50610270	50610391	50610391	50610391	1	50610270,	50610391,	0	SNAR-A11	unk	unk	-1,
971	NR_024228	chr19	-	50631658	50631779	50631779	50631779	1	50631658,	50631779,	0	SNAR-A8	unk	unk	-1,
971	NR_024229	chr19	-	50615624	50615745	50615745	50615745	1	50615624,	50615745,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50620976	50621097	50621097	50621097	1	50620976,	50621097,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50626330	50626451	50626451	50626451	1	50626330,	50626451,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50631658	50631779	50631779	50631779	1	50631658,	50631779,	0	SNAR-A10	unk	unk	-1,
954	NR_024228	chr19	+	48427035	48427156	48427156	48427156	1	48427035,	48427156,	0	SNAR-A8	unk	unk	-1,
954	NR_024229	chr19	+	48427035	48427156	48427156	48427156	1	48427035,	48427156,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50595745	50595866	50595866	50595866	1	50595745,	50595866,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50601082	50601203	50601203	50601203	1	50601082,	50601203,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50604147	50604268	50604268	50604268	1	50604147,	50604268,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50607211	50607332	50607332	50607332	1	50607211,	50607332,	0	SNAR-A10	unk	unk	-1,
971	NR_024229	chr19	-	50610270	50610391	50610391	50610391	1	50610270,	50610391,	0	SNAR-A10	unk	unk	-1,
234	NM_001166109	chr4	+	169552767	169849608	169602541	169847536	19	169552767,169589340,169602482,169604148,169606635,169611753,169612419,169630178,169632731,169812072,169815729,169819643,169824907,169835077,169837045,169842684,169845405,169846095,169847363,	169553051,169589519,169602549,169604254,169606710,169611895,169612443,169630298,169633074,169812208,169815828,169819865,169825057,169835172,169837178,169842892,169845571,169846229,169849608,	0	PALLD	cmpl	cmpl	-1,-1,0,2,0,0,1,1,1,2,0,0,0,0,2,0,1,2,1,
885	NM_001193289	chr22	+	39353526	39388783	39353696	39388450	5	39353526,39355546,39357391,39358102,39388435,	39353725,39355691,39357686,39358218,39388783,	0	APOBEC3A_B	cmpl	cmpl	0,2,0,1,0,
1952	NM_001142298	chr5	+	179233387	179265077	179250004	179263593	9	179233387,179238573,179249957,179250857,179251181,179252145,179260031,179260586,179263435,	179233591,179238682,179250053,179251087,179251323,179252226,179260246,179260782,179265077,	0	SQSTM1	cmpl	cmpl	-1,-1,0,1,0,1,1,0,1,
1252	NM_022818	chr16	+	87425800	87438380	87426033	87436703	4	87425800,87432420,87435780,87436528,	87426073,87432476,87435887,87438380,	0	MAP1LC3B	cmpl	cmpl	0,1,0,2,
953	NM_001271702	chr10	+	48255203	48271368	48255428	48270515	12	48255203,48259473,48260620,48262167,48263039,48263789,48264357,48264963,48265296,48267170,48267977,48270455,	48255449,48259564,48260829,48262281,48263130,48263869,48264417,48265057,48265392,48267229,48268100,48271368,	0	ANXA8	cmpl	cmpl	0,0,1,0,0,1,0,0,1,1,0,0,
944	NM_001271702	chr10	-	47157983	47174143	47158836	47173918	12	47157983,47161250,47162121,47163958,47164293,47164933,47165481,47166220,47167069,47168521,47169786,47173897,	47158896,47161373,47162180,47164054,47164387,47164993,47165561,47166311,47167183,47168730,47169877,47174143,	0	ANXA8	cmpl	cmpl	0,0,1,1,0,0,1,0,0,1,0,0,
930	NR_001457	chr1	+	45244061	45244130	45244130	45244130	1	45244061,	45244130,	0	SNORD38B	unk	unk	-1,
634	NM_002342	chr12	+	6493198	6500737	6493524	6500103	10	6493198,6493753,6494187,6494392,6495231,6495512,6497563,6497965,6499277,6499825,	6493620,6493850,6494313,6494545,6495328,6495610,6497671,6497991,6499506,6500737,	0	LTBR	cmpl	cmpl	0,0,1,1,1,2,1,1,0,1,
1018	NM_033280	chr18	+	56807124	56826063	56807180	56825917	6	56807124,56816744,56819767,56822919,56824839,56825863,	56807267,56816854,56819917,56823039,56824897,56826063,	0	SEC11C	cmpl	cmpl	0,0,2,2,2,0,
826	NM_080686	chr6	+	31588449	31605554	31590566	31605363	31	31588449,31590503,31591508,31592037,31592226,31592947,31593236,31593568,31593796,31594548,31594758,31595541,31596920,31597324,31598367,31598915,31601155,31601635,31602012,31602248,31602529,31602908,31603170,31603358,31603743,31603985,31604286,31604509,31604818,31605010,31605222,	31588635,31590678,31591686,31592137,31592299,31593091,31593388,31593648,31593939,31594639,31594975,31596016,31597111,31597622,31598578,31600769,31601424,31601766,31602142,31602334,31602754,31603049,31603242,31603526,31603826,31604196,31604385,31604722,31604913,31605101,31605554,	0	PRRC2A	cmpl	cmpl	-1,0,1,2,0,1,1,0,2,1,2,0,1,0,1,2,2,1,0,1,0,0,0,0,0,2,0,0,0,2,0,
828	NM_181609	chr21	-	31863781	31864275	31864029	31864275	1	31863781,	31864275,	0	KRTAP19-3	cmpl	cmpl	0,
811	NM_018950	chr6	+	29691116	29694303	29691240	29694184	7	29691116,29691434,29691949,29692807,29693223,29693787,29694179,	29691304,29691704,29692225,29693083,29693340,29693820,29694303,	0	HLA-F	cmpl	cmpl	0,1,1,1,1,1,1,
82	NR_103765	chr11	+	10329859	10452220	10452220	10452220	4	10329859,10352116,10432303,10451922,	10330220,10352256,10432523,10452220,	0	CAND1.11	unk	unk	-1,-1,-1,-1,
106	NM_001282676	chr11	-	35453375	35547579	35453903	35547133	9	35453375,35456059,35457450,35461174,35463028,35489548,35513592,35515643,35547060,	35454440,35456352,35457683,35461241,35463241,35489656,35513721,35515820,35547579,	0	PAMR1	cmpl	cmpl	0,1,2,1,1,1,1,1,0,
1004	NM_004645	chr17	-	55015560	55038411	55016431	55038380	7	55015560,55019395,55023802,55026747,55027041,55027249,55038135,	55016515,55019484,55023872,55026795,55027128,55028357,55038411,	0	COIL	cmpl	cmpl	0,1,0,0,0,2,0,
91	NM_138340	chr18	-	19230857	19284766	19231551	19284626	9	19230857,19236821,19237064,19239130,19244078,19263880,19282276,19283544,19284464,	19231724,19236987,19237113,19239304,19244191,19263926,19282459,19283708,19284766,	0	ABHD3	cmpl	cmpl	1,0,2,2,0,2,2,0,0,
1177	NM_174976	chr14	-	77597612	77608134	77600025	77606081	3	77597612,77605555,77607945,	77600291,77606095,77608134,	0	ZDHHC22	cmpl	cmpl	1,0,-1,
1104	NM_001258024	chr15	+	68112041	68126174	68112041	68126174	15	68112041,68114280,68116296,68117057,68118273,68119201,68119931,68120348,68121516,68122528,68123155,68124611,68124944,68125529,68126079,	68112083,68114508,68116381,68117367,68118964,68119430,68120237,68120482,68121607,68122636,68123227,68124686,68125019,68125595,68126174,	0	SKOR1	cmpl	cmpl	0,0,0,1,2,0,1,1,0,1,1,1,1,1,1,
1352	NM_001256385	chr1	-	100614003	100643829	100614923	100634072	11	100614003,100614921,100617940,100620606,100621727,100623786,100624814,100626021,100633959,100638886,100643673,	100614653,100614991,100618080,100620759,100621873,100623923,100624971,100626127,100634150,100638926,100643829,	0	LRRC39	cmpl	cmpl	-1,1,2,2,0,1,0,2,0,-1,-1,
1352	NM_001256386	chr1	-	100614003	100643829	100614597	100634072	10	100614003,100617940,100620606,100621727,100623786,100624814,100626021,100633959,100638886,100643673,	100614653,100618080,100620759,100621873,100623923,100624971,100626127,100634150,100638926,100643829,	0	LRRC39	cmpl	cmpl	1,2,2,0,1,0,2,0,-1,-1,
1352	NM_001256387	chr1	-	100614003	100643829	100614597	100634072	9	100614003,100617940,100620606,100621727,100623786,100624814,100626021,100633959,100643690,	100614653,100618080,100620759,100621873,100623923,100624971,100626127,100634150,100643829,	0	LRRC39	cmpl	cmpl	1,2,2,0,1,0,2,0,-1,
161	NM_001256373	chr12	-	92378751	92536447	92381353	92387179	5	92378751,92381331,92382872,92387145,92536382,	92380473,92381570,92382969,92387305,92536447,	0	C12orf79	cmpl	cmpl	-1,2,1,0,-1,
161	NM_001256374	chr12	-	92378751	92536447	92380401	92387179	5	92378751,92381331,92382872,92387145,92536382,	92380473,92381419,92382969,92387305,92536447,	0	C12orf79	cmpl	cmpl	0,2,1,0,-1,
811	NR_001590	chr6	-	29718583	29718925	29718925	29718925	1	29718583,	29718925,	0	IFITM4P	unk	unk	-1,
1344	NM_001174122	chr10	+	99496877	99520664	99498234	99519057	9	99496877,99498233,99509230,99510087,99511147,99512794,99517021,99517398,99518992,	99497078,99498431,99509343,99510227,99511219,99512939,99517068,99517480,99520664,	0	ZFYVE27	cmpl	cmpl	-1,0,2,1,0,0,1,0,1,
1344	NM_001174120	chr10	+	99496877	99520664	99498234	99519057	10	99496877,99498233,99508025,99509230,99510087,99511147,99512794,99517021,99517398,99518992,	99497078,99498431,99508121,99509343,99510227,99511219,99512939,99517068,99517480,99520664,	0	ZFYVE27	cmpl	cmpl	-1,0,2,2,1,0,0,1,0,1,
1344	NM_001174119	chr10	+	99496877	99520664	99498234	99519057	11	99496877,99498233,99504485,99508025,99509230,99510087,99511147,99512794,99517021,99517398,99518992,	99497078,99498406,99504672,99508121,99509343,99510227,99511219,99512939,99517068,99517480,99520664,	0	ZFYVE27	cmpl	cmpl	-1,0,1,2,2,1,0,0,1,0,1,
1241	NM_001554	chr1	+	86046443	86049648	86046667	86048725	5	86046443,86047047,86047610,86048098,86048422,	86046730,86047261,86047967,86048307,86049648,	0	CYR61	cmpl	cmpl	0,0,1,1,0,
930	NM_003738	chr1	-	45287937	45308616	45288086	45308604	22	45287937,45288740,45288914,45291921,45292159,45292573,45292838,45293073,45293514,45293967,45294177,45294653,45294828,45295073,45295285,45295580,45296519,45297377,45297646,45297823,45307518,45308532,	45288341,45288840,45289057,45292059,45292440,45292754,45292981,45293386,45293863,45294086,45294303,45294746,45294984,45295205,45295433,45295702,45296715,45297469,45297716,45298013,45307711,45308616,	0	PTCH2	cmpl	cmpl	0,2,0,0,1,0,1,0,2,0,0,0,0,0,2,0,2,0,2,1,0,0,
1194	NM_001185077	chr17	-	79825596	79828790	79826751	79827806	6	79825596,79827048,79827205,79827417,79827616,79828511,	79826951,79827112,79827282,79827501,79827833,79828790,	0	ARHGDIA	cmpl	cmpl	1,0,1,1,0,-1,
193	NM_173685	chr8	+	126104082	126379367	126114572	126379127	8	126104082,126114292,126114558,126163412,126194344,126369460,126369953,126379009,	126104200,126114388,126114729,126163519,126194498,126369561,126370060,126379367,	0	NSMCE2	cmpl	cmpl	-1,-1,0,1,0,1,0,2,
1012	NM_020378	chr19	+	55996556	55998935	55997075	55998323	3	55996556,55997027,55997774,	55996625,55997147,55998935,	0	NAT14	cmpl	cmpl	-1,0,0,
942	NM_001256127	chr1	+	46806849	46830824	46810526	46827518	6	46806849,46810472,46812592,46818539,46826375,46827241,	46807537,46810816,46812747,46818700,46826500,46830824,	0	NSUN4	cmpl	cmpl	-1,0,2,1,0,2,
1652	NM_004669	chr9	-	139889059	139891024	139889132	139890995	6	139889059,139889381,139889637,139889893,139890099,139890962,	139889291,139889557,139889744,139890019,139890209,139891024,	0	CLIC3	cmpl	cmpl	0,1,2,2,0,0,
857	NM_001135730	chr22	+	35695796	35743987	35695921	35743202	14	35695796,35713869,35717951,35719020,35719760,35723263,35726339,35728973,35729396,35730320,35734705,35741717,35742922,35743047,	35695973,35713954,35718030,35719170,35719907,35723380,35726473,35729007,35729490,35730441,35734781,35741777,35742962,35743987,	0	TOM1	cmpl	cmpl	0,1,2,0,0,0,0,2,0,1,2,0,0,1,
857	NM_005488	chr22	+	35695796	35743987	35695921	35743202	15	35695796,35713869,35717951,35719020,35719488,35719760,35723263,35726339,35728973,35729396,35730320,35734705,35741717,35742922,35743047,	35695973,35713954,35718030,35719170,35719623,35719907,35723380,35726473,35729007,35729490,35730441,35734781,35741777,35742962,35743987,	0	TOM1	cmpl	cmpl	0,1,2,0,0,0,0,0,2,0,1,2,0,0,1,
216	NM_078483	chr5	+	150827162	150871940	150838353	150867815	11	150827162,150838348,150843113,150844074,150844634,150846759,150847267,150853233,150856150,150858880,150867543,	150827374,150838496,150843204,150844163,150844730,150846844,150847486,150853332,150856317,150859050,150871940,	0	SLC36A1	cmpl	cmpl	-1,0,2,0,2,2,0,0,0,2,1,
2128	NM_014176	chr1	-	202300784	202311094	202300962	202304882	7	202300784,202302137,202302364,202302577,202304116,202304773,202311022,	202301088,202302221,202302463,202302683,202304186,202304946,202311094,	0	UBE2T	cmpl	cmpl	0,0,0,2,1,0,-1,
2197	NM_006055	chr2	-	211295972	211341491	211299210	211341120	10	211295972,211300110,211300939,211302413,211305321,211306031,211319830,211336682,211341039,211341343,	211299287,211300183,211301116,211302596,211305468,211306167,211320038,211336800,211341136,211341491,	0	LANCL1	cmpl	cmpl	1,0,0,0,0,2,1,0,0,-1,
167	NM_001199847	chr7	-	98625057	98741743	98628206	98741403	18	98625057,98630659,98633137,98634689,98636010,98638000,98639740,98643320,98645306,98647185,98648979,98649827,98652412,98654827,98655040,98658221,98659421,98741348,	98628306,98630735,98633339,98634810,98636148,98638179,98639855,98643424,98645505,98647332,98649064,98650069,98652488,98654893,98655174,98658330,98659460,98741743,	0	SMURF1	cmpl	cmpl	2,1,0,2,2,0,2,0,2,2,1,2,1,1,2,1,1,0,
1392	NM_007227	chr2	+	105858199	105859924	105858315	105859434	1	105858199,	105859924,	0	GPR45	cmpl	cmpl	0,
1351	NM_000665	chr7	-	100487614	100493541	100487834	100491853	5	100487614,100488789,100489954,100490785,100493422,	100487956,100488959,100490439,100491873,100493541,	0	ACHE	cmpl	cmpl	1,2,0,0,-1,
1147	NM_003356	chr11	-	73711325	73720282	73712456	73718087	7	73711325,73714871,73715528,73716774,73717213,73717961,73720022,	73712571,73715052,73715630,73716978,73717424,73718182,73720282,	0	UCP3	cmpl	cmpl	2,1,1,1,0,0,-1,
1125	NM_000200	chr4	+	70894129	70902255	70896457	70898937	6	70894129,70896444,70897695,70897794,70898883,70901983,	70894233,70896508,70897716,70897824,70898970,70902255,	0	HTN3	cmpl	cmpl	-1,0,0,0,0,-1,
1681	NM_173552	chr3	+	143690639	143711210	143691174	143708683	3	143690639,143704384,143708351,	143691831,143704688,143711210,	0	C3orf58	cmpl	cmpl	0,0,1,
123	NM_175834	chr12	-	53215230	53228077	53215655	53228044	9	53215230,53216128,53216799,53217670,53217981,53223806,53224015,53225189,53227567,	53215861,53216163,53217020,53217796,53218146,53223902,53224076,53225410,53228077,	0	KRT79	cmpl	cmpl	1,2,0,0,0,0,2,0,0,
818	NM_133471	chr6	-	30644165	30655672	30645045	30653795	3	30644165,30646955,30652184,	30645065,30647166,30655672,	0	PPP1R18	cmpl	cmpl	1,0,0,
1	NM_001166265	chr2	+	33359663	33624575	33359804	33623612	30	33359663,33411922,33413643,33442618,33447146,33468728,33477743,33482509,33484654,33487788,33488360,33498722,33500031,33500867,33505105,33518226,33525517,33526588,33534500,33540210,33567904,33572433,33585663,33586495,33588456,33589282,33590399,33614250,33622199,33623430,	33360027,33412147,33413918,33442721,33447218,33468851,33477911,33482578,33484677,33487888,33488459,33498848,33500157,33500990,33505225,33518349,33525640,33526711,33534623,33540336,33568030,33572577,33585846,33586582,33588585,33589423,33590570,33614373,33622349,33624575,	0	LTBP1	cmpl	cmpl	0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
14	NM_145186	chr16	-	48200821	48269088	48201184	48265832	29	48200821,48201406,48204799,48209168,48210834,48212507,48218350,48220863,48221111,48226430,48227789,48230142,48231881,48232051,48234186,48237138,48239323,48242335,48244858,48247353,48248791,48249107,48250024,48256508,48258192,48261716,48264347,48265733,48269042,	48201277,48201571,48204878,48209328,48211024,48212597,48218537,48221001,48221338,48226628,48227893,48230232,48231978,48232186,48234390,48237211,48239448,48242407,48245110,48247461,48248940,48249255,48250198,48256742,48258340,48261875,48264484,48265850,48269088,	0	ABCC11	cmpl	cmpl	0,0,2,1,0,0,2,2,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,-1,
969	NM_013277	chr12	-	50382944	50419307	50384050	50410498	19	50382944,50384466,50385780,50386027,50386332,50387913,50388196,50390822,50392923,50393398,50394954,50396029,50398017,50399038,50400216,50410413,50413526,50414844,50419180,	50384126,50384575,50385916,50386160,50386438,50388112,50388292,50390987,50393054,50393516,50395035,50396083,50398087,50399175,50400419,50410502,50413589,50414960,50419307,	0	RACGAP1	cmpl	cmpl	2,1,0,2,1,0,0,0,1,0,0,0,2,0,1,0,-1,-1,-1,
1988	NM_138345	chr3	+	183948316	183960117	183948316	183959826	19	183948316,183948534,183950965,183951363,183952053,183952418,183952940,183953939,183954130,183954425,183955013,183956090,183956350,183957181,183957476,183958578,183958811,183958974,183959277,	183948455,183948705,183951185,183951521,183952185,183952543,183953096,183954050,183954339,183954537,183955199,183956262,183956661,183957371,183957824,183958716,183958895,183959192,183960117,	0	VWA5B2	cmpl	cmpl	0,1,1,2,1,1,0,0,0,2,0,0,1,0,1,1,1,1,0,
200	NM_006059	chr9	+	133884503	133968446	133884601	133967174	28	133884503,133901671,133907431,133911552,133914250,133914517,133917023,133920910,133924406,133927877,133928236,133932315,133936421,133942346,133943464,133944294,133945058,133946870,133948016,133948631,133951217,133952573,133954535,133957445,133960910,133962862,133963104,133966923,	133884974,133901976,133907562,133911719,133914439,133914635,133917122,133921047,133924517,133928070,133928352,133932534,133936610,133942592,133943618,133944437,133945237,133947012,133948222,133948708,133951352,133952721,133954685,133957548,133961110,133963009,133963204,133968446,	0	LAMC3	cmpl	cmpl	0,1,0,2,1,1,2,2,1,1,2,1,1,1,1,2,1,0,1,0,2,2,0,0,1,0,0,1,
1266	NM_004897	chr10	+	89264222	89313218	89264672	89312235	5	89264222,89268092,89272880,89280792,89311838,	89265309,89268290,89272978,89280926,89313218,	0	MINPP1	cmpl	cmpl	0,1,1,0,2,
954	NR_024215	chr19	+	48427035	48427156	48427156	48427156	1	48427035,	48427156,	0	SNAR-A4	unk	unk	-1,
98	NM_018317	chr4	+	26585545	26756918	26585815	26756569	21	26585545,26614790,26616029,26622234,26638832,26640392,26641762,26661218,26667954,26673770,26675397,26685296,26689966,26719554,26721702,26737076,26741485,26744129,26750032,26755441,26756494,	26585914,26614863,26616075,26622310,26638907,26640456,26641809,26661329,26668027,26673809,26675510,26685371,26690029,26719639,26721747,26737109,26741595,26744221,26750148,26755512,26756918,	0	TBC1D19	cmpl	cmpl	0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,1,1,0,2,1,0,
87	NM_001168342	chr9	-	15170841	15250198	15172016	15211382	18	15170841,15175016,15177694,15182304,15185277,15186941,15187968,15189571,15189722,15190551,15191187,15192587,15199858,15203820,15210085,15211263,15214136,15249915,	15172107,15175133,15177812,15182413,15185404,15187033,15188130,15189631,15189790,15190660,15191253,15192693,15199923,15203888,15210162,15211395,15214247,15250198,	0	TTC39B	cmpl	cmpl	2,2,1,0,2,0,0,0,1,0,0,2,0,1,2,0,-1,-1,
606	NR_033851	chr6	-	2854890	2876744	2876744	2876744	2	2854890,2876526,	2855924,2876744,	0	MGC39372	unk	unk	-1,-1,
189	NR_033850	chr10	-	122521323	122610691	122610691	122610691	3	122521323,122536246,122610205,	122523187,122536396,122610691,	0	WDR11-AS1	unk	unk	-1,-1,-1,
149	NM_024083	chr17	+	79935425	79975282	79935522	79975198	16	79935425,79937059,79941429,79943382,79952696,79953867,79954295,79966912,79967361,79968677,79969418,79970106,79974351,79974675,79974816,79975184,	79935624,79937115,79941544,79943483,79952754,79953941,79954722,79967067,79967443,79968744,79969481,79970159,79974403,79974745,79974989,79975282,	0	ASPSCR1	cmpl	cmpl	0,0,2,0,2,0,2,0,2,0,1,1,0,1,2,1,
169	NM_024642	chr9	+	101569980	101612363	101569980	101611374	10	101569980,101585537,101589033,101594053,101597530,101599253,101602283,101606377,101608258,101611233,	101570351,101585707,101589223,101594239,101597648,101599430,101602415,101606491,101608405,101612363,	0	GALNT12	cmpl	cmpl	0,2,1,2,2,0,0,0,0,0,
115	NM_021927	chr4	+	44680432	44702697	44680639	44700698	17	44680432,44682457,44682710,44683139,44684350,44685251,44687975,44688526,44690023,44691302,44691859,44692733,44693682,44696428,44697631,44699424,44700560,	44680804,44682569,44682859,44683220,44684428,44685335,44688040,44688730,44690163,44691426,44691992,44692877,44693816,44696530,44697751,44699461,44702697,	0	GUF1	cmpl	cmpl	0,0,1,0,0,0,0,2,2,1,2,0,0,2,2,2,0,
1203	NM_015251	chr16	+	81069457	81080951	81069475	81078575	4	81069457,81074960,81075885,81076765,	81069811,81075086,81076085,81080951,	0	ATMIN	cmpl	cmpl	0,0,0,2,
838	NM_001205265	chr16	+	33262119	33264719	33262149	33263252	2	33262119,33263181,	33262387,33264719,	0	TP53TG3B	cmpl	cmpl	0,1,
834	NM_001205265	chr16	-	32684848	32687448	32686315	32687418	2	32684848,32687180,	32686386,32687448,	0	TP53TG3B	cmpl	cmpl	1,0,
1879	NM_000655	chr1	-	169659805	169680843	169660924	169680678	9	169659805,169665675,169670700,169672395,169673708,169676482,169677557,169679576,169680636,	169660943,169665694,169670829,169672581,169673894,169676590,169677944,169679658,169680843,	0	SELL	cmpl	cmpl	2,1,1,1,1,1,1,0,0,
1513	NM_001199799	chr3	-	121706169	121741127	121707213	121740924	8	121706169,121711996,121713028,121720154,121720591,121724090,121725837,121740866,	121707255,121712817,121713160,121720301,121720711,121724240,121726008,121741127,	0	ILDR1	cmpl	cmpl	0,1,1,1,1,1,1,0,
606	NM_001145276	chrY	+	2803111	2850547	2821977	2848034	7	2803111,2821949,2843135,2843551,2844710,2845980,2846850,	2803487,2822038,2843285,2843695,2844863,2846121,2850547,	0	ZFY	cmpl	cmpl	-1,0,1,1,1,1,1,
1926	NM_001079685	chr5	-	175773063	175788810	175774602	175786511	8	175773063,175774923,175775252,175777615,175779624,175782573,175786483,175788604,	175774811,175775066,175775359,175777740,175779751,175782752,175786570,175788810,	0	KIAA1191	cmpl	cmpl	1,2,0,1,0,1,0,-1,
1926	NM_001079684	chr5	-	175773063	175788810	175774602	175782723	8	175773063,175774923,175775252,175777615,175779624,175782573,175786813,175788604,	175774811,175775066,175775359,175777740,175779751,175782752,175786921,175788810,	0	KIAA1191	cmpl	cmpl	1,2,0,1,0,0,-1,-1,
914	NM_021016	chr19	-	43225793	43244668	43228133	43244536	7	43225793,43228093,43233274,43233929,43236935,43242875,43244472,	43226242,43228177,43233529,43234208,43237214,43243241,43244668,	0	PSG3	cmpl	cmpl	-1,1,1,1,1,1,0,
820	NM_013993	chr6	+	30852326	30867933	30856506	30867073	19	30852326,30853401,30856464,30856684,30856978,30858749,30859156,30859778,30860072,30860844,30861048,30862282,30863180,30864397,30864790,30865155,30865849,30866664,30866932,	30852487,30853457,30856591,30856787,30857207,30858897,30859256,30859965,30860319,30860940,30861200,30862448,30863291,30864642,30864918,30865374,30866084,30866814,30867933,	0	DDR1	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,1,0,1,1,0,2,2,0,0,
9	NM_017575	chr17	-	1963132	2207069	1964785	2207014	19	1963132,1968366,1968761,1972071,1985103,1989018,2075951,2089956,2091692,2139785,2147951,2185940,2186918,2195845,2196164,2200536,2201156,2202199,2206926,	1964916,1968448,1968973,1972225,1985250,1989195,2076153,2090125,2091809,2139931,2148013,2186153,2187029,2195924,2196271,2200647,2201349,2203958,2207069,	0	SMG6	cmpl	cmpl	1,0,1,0,0,0,2,1,1,2,0,0,0,2,0,0,2,1,0,
1265	NM_001243279	chr16	+	89160216	89222254	89167089	89220615	11	89160216,89164998,89167069,89169011,89178499,89180746,89187208,89199543,89211674,89212345,89220497,	89160404,89165171,89167755,89169167,89178654,89180895,89187321,89199670,89211809,89212457,89222254,	0	ACSF3	cmpl	cmpl	-1,-1,0,0,0,2,1,0,1,1,2,
